molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL121857,COC(=O)C1C2CCC(C[C@@H]1OC(c1ccccc1)c1ccc(I)cc1)N2C,55.9,active
CHEMBL435990,COC(=O)C1C2CCC(C[C@@H]1OC(c1ccc(C)cc1)c1ccc(C)cc1)N2C,240.0,active
CHEMBL420333,COC(=O)C1C2CCC(C[C@@H]1OC(c1ccc(I)cc1)c1ccc(I)cc1)N2C,909.0,active
CHEMBL338566,COC(=O)C1C2CCC(C[C@@H]1OC(c1ccccc1)c1ccc(F)cc1)N2C,13.2,active
CHEMBL124854,COC(=O)C1C2CCC(C[C@@H]1OC(c1ccc(F)cc1)c1ccc(F)cc1)N2Cc1ccccc1,223.0,active
CHEMBL333331,COC(=O)C1C2CCC(C[C@@H]1OC(c1ccc(Cl)cc1)c1ccc(Cl)cc1)N2C,91.4,active
CHEMBL80515,COC(=O)C1C2CCC(CC1c1ccc(F)cc1)N2,33.7,active
CHEMBL14391,COC(=O)C1C(c2ccc(I)cc2)CC2CCC1N2C,1.08,active
CHEMBL81525,COC(=O)C1C2CCC(CC1c1ccc(Cl)cc1)N2,1.43,intermediate
CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,95.6,active
CHEMBL87031,COC(=O)C1C(c2ccc(Cl)c(Cl)c2)CC2CCC1N2C,1.09,active
CHEMBL171106,COC(=O)C1C(c2cccc(Br)c2)CC2CCC1N2C,7.93,active
